title,artist,album,lyrics,image,related_lyrics,video,latitude,longitude
ธาตุทองซาวด์,YOUNGOHM,THATTHONG SOUND,https://www.siamzone.com/music/thailyric/26374,https://t2.genius.com/unsafe/432x432/https%3A%2F%2Fimages.genius.com%2F17f1c9af7a0a5fc4d2c84a96537a89e3.1000x1000x1.jpg,"Yo, และนี้คือเสียงจากเด็กวัด",https://youtu.be/10LhhygC_SA,13.738109,100.583227
ปิ่นเกล้า 2018,ZENTYARB,Single,https://www.siamzone.com/music/thailyric/24899,https://i.ytimg.com/vi/O3C914GzjGY/maxresdefault.jpg,เมื่อก่อนอยู่ปิ่นเกล้า,https://youtu.be/O3C914GzjGY,13.769413,100.496000
